Activity,Road,Road Code,Comments,Complete,Completed_Date_Time,Contract,Council,Created_Date,Direction,Distance_Past,Job_ID,Job_Type,Latitude,Longitude,Reference_Point
PAVEMENT CLEANING,BALLARAT-MARYBOROUGH RD,5327,"VicRoads on 17/03/2014 - Advised contractor and sent to Asset vission
Alex Svedas on 17/03/2014 - Tree down on side of road removed hazard from shoulder made safe and job completed",Yes,17/03/2014 15:05,CN8124 WR,CENTRAL GOLDFIELDS,17/03/2014 10:30,Forward,649,13206,Hazard,-37.0955178,143.7270724,DEHNERTS RD (SR)
PAVEMENT CLEANING,GRAMPIANS RD,4851,VicRoads on 20/03/2014 - Emailed contractor and sent to AV,Yes,20/03/2014 11:48,CN8124 WR,NORTHERN GRAMPIANS,20/03/2014 10:15,Forward,262,15090,Hazard,-37.1296583,142.5367687,LAKE FYANS RD (CR)
PAVEMENT CLEANING,SUNRAYSIA HWY,2700,"VicRoads on 21/03/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 4
VicRoads on 21/03/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.B; New Priority: 4
John Webber on 21/03/2014 - Cut and remove large tree",Yes,21/03/2014 19:39,CN8124 WR,NORTHERN GRAMPIANS,21/03/2014 16:41,Forward,226,15954,Hazard,-36.5411143,143.1163665,258 (KM)
PAVEMENT CLEANING,WESTERN HWY - Sec 4,2520,"VicRoads on 25/03/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 3
VicRoads on 25/03/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 3
Terina Matthews on 25/03/2014 - Inspected by John Webber at 9am and wallaby removed approx. 1km prior to given location. Nil wallaby found at given location. John Webber unable to close ETS on device due to error.",Yes,25/03/2014 10:42,CN8124 WR,ARARAT,25/03/2014 9:17,Forward,705,16453,Hazard,-37.2837994,142.943635,MAUDE ST (SR)
PAVEMENT CLEANING,DELACOMBE-WENDOUREE RD,5497,"VicRoads on 27/03/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 3
VicRoads on 27/03/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 3
Terina Matthews on 27/03/2014 - SSe Traffic Control for Police on site until rubbish cleaned. Location made safe at 3pm.",Yes,27/03/2014 15:40,CN8124 WR,BALLARAT,27/03/2014 11:55,Forward,253,17841,Hazard,-37.5701479,143.8103448,MIDWEST LA (SR)
PAVEMENT CLEANING,DUNACH-EDDINGTON RD,5975,"VicRoads on 31/03/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 5
VicRoads on 31/03/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 5
VicRoads on 31/03/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 
VicRoads on 31/03/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 
Terina Matthews on 01/04/2014 - Location inspected@5.30pm and nil hay bales found as owner had already picked up.",Yes,1/04/2014 8:23,CN8124 WR,CENTRAL GOLDFIELDS,31/03/2014 16:34,Forward,2118,19139,Hazard,-37.00519,143.8169036,CARISBROOK-HAVELOCK RD (SR)
PAVEMENT CLEANING,DAYLESFORD-MALMSBURY RD,5197,"VicRoads on 01/04/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 
VicRoads on 01/04/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 
VicRoads on 01/04/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 4
VicRoads on 01/04/2014 - police advise just north of glenlyon dump truck has lost a load of rocks
VicRoads on 01/04/2014 - Update on Enquiry Risk Code and Priority. New Risk Code: RM116.A; New Priority: 
Terina Matthews on 02/04/2014 - Debris manually removed from road and road made safe. Traffic Hazard signs erected @6.30pm 1/4. Location checked again today by Matt Shaw and who has assessed sweeper not required.",Yes,2/04/2014 11:33,CN8124 WR,HEPBURN,1/04/2014 16:22,Forward,184,19694,Hazard,-37.2777651,144.2957038,SANDY FARM RD (SR)
PAVEMENT CLEANING,DONALD-STAWELL RD,5155,"VicRoads on 09/04/2014 - Sent to AV
VicRoads on 09/04/2014 - Darren advised Steve of SSE
Terina Matthews on 09/04/2014 - Assisted SES with the removal of a very large tree that had fallen from a farmers property onto the road hitting a Toyota land cruiser. Driver ok but landcruiser damaged. Some photos supplied to Michelle.",Yes,9/04/2014 16:02,CN8124 WR,NORTHERN GRAMPIANS,9/04/2014 13:47,Forward,75,22911,Hazard,-36.8238499,142.7855895,61 (KM)
PAVEMENT CLEANING,DRUMMOND ST,5185,Alex Svedas on 10/04/2014 - Moved hazard and cleared and completed,Yes,10/04/2014 15:13,CN8124 WR,BALLARAT,10/04/2014 11:29,Forward,8,23366,Hazard,-37.5565678,143.8482276,WEBSTER ST (SR)
PAVEMENT CLEANING,DAYLESFORD-MALMSBURY RD,5197,Matthew Shaw on 11/04/2014 - Tree removed from road and cleared away from shoulder.,Yes,11/04/2014 12:09,CN8124 WR,HEPBURN,11/04/2014 9:43,Forward,132,23904,Hazard,-37.2989029,144.2439741,ELDON ST (SR)
