Size,ID,LastName,FirstName,E-mail address,ReportDate,Direction,Phone,ReportingSource,District,County_Name,Facility_Type,County,Alignment,Route,Postmile,Species,Gender,Age,Latitude,Longitude,Datum,NearestLandmark,Comments,selected,Posted_On,LastUpdated_On,x_coord,y_coord,StatusOfRoadkill,endangeredSpecies
,8644,,,,12/25/1997,,,tasas,1,Humboldt(HUM),,HUM,,101,59.99,Deer,U,U,,,,,,No,,,-121.23468,38.81282,,FALSE
,8645,,,,5/27/2001,,,tasas,1,Humboldt(HUM),,HUM,,101,60.10,Deer,U,U,,,,,,No,,,-121.23486,38.81328,,FALSE
,8646,,,,10/18/2000,,,county,1,Humboldt(HUM),,HUM,,101,60.20,Raccoon,U,U,,,,,,No,,,-121.23504,38.81369,,FALSE
,8647,,,,10/16/2000,,,county,1,Humboldt(HUM),,HUM,,101,60.29,Deer,U,U,,,,,,No,,,-121.23524,38.81405,,FALSE
,8648,,,,11/18/2000,,,tasas,1,Humboldt(HUM),,HUM,,101,60.30,Deer,U,U,,,,,,No,,,-121.23527,38.81408,,FALSE
,8650,,,,10/25/1997,,,tasas,1,Humboldt(HUM),,HUM,,101,60.50,Deer,U,U,,,,,,No,,,-121.23587,38.81482,,FALSE
,8649,,,,6/23/2002,,,tasas,1,Humboldt(HUM),,HUM,,101,60.50,Deer,U,U,,,,,,No,,,-121.23587,38.81482,,FALSE
,8651,,,,5/28/2001,,,tasas,1,Humboldt(HUM),,HUM,,101,60.90,Deer,U,U,,,,,,No,,,-121.23667,38.81659,,FALSE
,8652,,,,8/5/2000,,,tasas,1,Humboldt(HUM),,HUM,,101,61.00,Deer,U,U,,,,,,No,,,-121.23708,38.81693,,FALSE
,8653,,,,10/27/2000,,,tasas,1,Humboldt(HUM),,HUM,,101,61.15,Deer,U,U,,,,,,No,,,-121.23782,38.81734,,FALSE
,8654,,,,1/22/2000,,,county,1,Humboldt(HUM),,HUM,,101,61.15,Raccoon,U,U,,,,,,No,,,-121.23782,38.81734,,FALSE
,8655,,,,8/26/1999,,,tasas,1,Humboldt(HUM),,HUM,,101,61.20,Deer,U,U,,,,,,No,,,-121.23808,38.81747,,FALSE
,8657,,,,11/8/1996,,,tasas,1,Humboldt(HUM),,HUM,,101,61.95,Deer,U,U,,,,,,No,,,-121.24138,38.81961,,FALSE
,8656,,,,7/29/2000,,,tasas,1,Humboldt(HUM),,HUM,,101,61.95,Deer,U,U,,,,,,No,,,-121.24138,38.81961,,FALSE
,8658,,,,11/15/2000,,,tasas,1,Humboldt(HUM),,HUM,,101,62.00,Deer,U,U,,,,,,No,,,-121.24162,38.81973,,FALSE
,8659,,,,4/4/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,62.00,Deer,F,A,,,,,,No,,,-121.24162,38.81973,,FALSE
,8661,,,,4/19/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,62.00,Deer,F,A,,,,,,No,,,-121.24162,38.81973,,FALSE
,8660,,,,8/28/2000,,,county,1,Humboldt(HUM),,HUM,,101,62.00,Raccoon,U,U,,,,,,No,,,-121.24162,38.81973,,FALSE
,8663,,,,10/6/2000,,,county,1,Humboldt(HUM),,HUM,,101,62.00,Raccoon,U,U,,,,,,No,,,-121.24162,38.81973,,FALSE
,8662,,,,10/23/2000,,,county,1,Humboldt(HUM),,HUM,,101,62.00,Raccoon,U,U,,,,,,No,,,-121.24162,38.81973,,FALSE
,8664,,,,1/22/2000,,,county,1,Humboldt(HUM),,HUM,,101,62.23,Raccoon,U,U,,,,,,No,,,-121.24269,38.82025,,FALSE
,8665,,,,5/8/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,62.62,Raccoon,U,U,,,,,,No,,,-121.24457,38.82111,,FALSE
,8666,,,,7/17/2000,,,county,1,Humboldt(HUM),,HUM,,101,62.62,Skunk,U,U,,,,,,No,,,-121.24457,38.82111,,FALSE
,8667,,,,10/16/2000,,,county,1,Humboldt(HUM),,HUM,,101,62.67,Deer,U,U,,,,,,No,,,-121.24477,38.82126,,FALSE
,8670,,,,7/10/2000,,,county,1,Humboldt(HUM),,HUM,,101,62.88,Deer,U,U,,,,,,No,,,-121.24555,38.82194,,FALSE
,8669,,,,9/22/2000,,,county,1,Humboldt(HUM),,HUM,,101,62.88,Fox,U,U,,,,,,No,,,-121.24555,38.82194,,FALSE
,8668,,,,8/28/2000,,,county,1,Humboldt(HUM),,HUM,,101,62.88,Raccoon,U,U,,,,,,No,,,-121.24555,38.82194,,FALSE
,8673,,,,7/10/2000,,,county,1,Humboldt(HUM),,HUM,,101,63.00,Deer,U,U,,,,,,No,,,-121.246,38.82231,,FALSE
,8672,,,,10/29/2000,,,county,1,Humboldt(HUM),,HUM,,101,63.00,Deer,U,U,,,,,,No,,,-121.246,38.82231,,FALSE
,8671,,,,7/17/2000,,,county,1,Humboldt(HUM),,HUM,,101,63.00,Skunk,U,U,,,,,,No,,,-121.246,38.82231,,FALSE
,8674,,,,7/18/2000,,,county,1,Humboldt(HUM),,HUM,,101,63.04,Raccoon,U,U,,,,,,No,,,-121.24615,38.82245,,FALSE
,8676,,,,7/19/2000,,,county,1,Humboldt(HUM),,HUM,,101,63.35,Bobcat,U,U,,,,,,No,,,-121.24741,38.82337,,FALSE
,8675,,,,10/24/2000,,,county,1,Humboldt(HUM),,HUM,,101,63.35,Raccoon,U,U,,,,,,No,,,-121.24741,38.82337,,FALSE
,8677,,,,11/13/2002,,,county,1,Humboldt(HUM),,HUM,,101,63.61,Deer,U,U,,,,,,No,,,-121.24864,38.82396,,FALSE
,8678,,,,3/4/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,63.89,Deer,M,A,,,,,,No,,,-121.24991,38.82468,,FALSE
,8679,,,,8/29/2000,,,county,1,Humboldt(HUM),,HUM,,101,64.00,Deer,U,U,,,,,,No,,,-121.25039,38.82498,,FALSE
,8680,,,,10/12/2000,,,county,1,Humboldt(HUM),,HUM,,101,64.00,Deer,U,U,,,,,,No,,,-121.25039,38.82498,,FALSE
,8681,,,,8/29/2000,,,county,1,Humboldt(HUM),,HUM,,101,64.02,Raccoon,U,U,,,,,,No,,,-121.25048,38.82503,,FALSE
,8682,,,,7/25/2000,,,county,1,Humboldt(HUM),,HUM,,101,64.04,Raccoon,U,U,,,,,,No,,,-121.25059,38.82507,,FALSE
,8683,,,,3/5/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,64.26,Skunk,U,U,,,,,,No,,,-121.25174,38.82538,,FALSE
,8684,,,,11/17/2000,,,county,1,Humboldt(HUM),,HUM,,101,64.51,Raccoon,U,U,,,,,,No,,,-121.25285,38.82596,,FALSE
,8685,,,,1/16/2001,,,county,1,Humboldt(HUM),,HUM,,101,64.65,"Fox, gray",U,U,,,,,,No,,,-121.25331,38.82642,,FALSE
,8686,,,,10/24/2000,,,county,1,Humboldt(HUM),,HUM,,101,65.35,Deer,U,U,,,,,,No,,,-121.25245,38.82921,,FALSE
,8688,,,,7/13/2000,,,county,1,Humboldt(HUM),,HUM,,101,66.00,Coyote,U,U,,,,,,No,,,-121.2511,38.83175,,FALSE
,8689,,,,7/18/2000,,,county,1,Humboldt(HUM),,HUM,,101,66.00,"Fox, gray",U,U,,,,,,No,,,-121.2511,38.83175,,FALSE
,8690,,,,7/24/2000,,,county,1,Humboldt(HUM),,HUM,,101,66.36,Raccoon,U,U,,,,,,No,,,-121.25108,38.83327,,FALSE
,8691,,,,10/23/2000,,,county,1,Humboldt(HUM),,HUM,,101,66.38,Raccoon,U,U,,,,,,No,,,-121.25112,38.83335,,FALSE
,8692,,,,7/25/2000,,,county,1,Humboldt(HUM),,HUM,,101,66.60,Deer,U,U,,,,,,No,,,-121.25163,38.83423,,FALSE
,8693,,,,7/13/2000,,,county,1,Humboldt(HUM),,HUM,,101,66.85,Coyote,U,U,,,,,,No,,,-121.25142,38.83527,,FALSE
,8696,,,,5/30/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,67.00,Deer,F,A,,,,,,No,,,-121.25088,38.83577,,FALSE
,8694,,,,7/18/2000,,,county,1,Humboldt(HUM),,HUM,,101,67.00,"Fox, gray",U,U,,,,,,No,,,-121.25088,38.83577,,FALSE
,8695,,,,3/18/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,67.00,Raccoon,U,U,,,,,,No,,,-121.25088,38.83577,,FALSE
,8697,,,,3/5/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,67.41,Opossum,U,U,,,,,,No,,,-121.24951,38.83721,,FALSE
,8698,,,,12/18/2001,,,Maintenance,1,Humboldt(HUM),,HUM,,101,68.15,Deer,F,A,,,,,,No,,,-121.24863,38.84043,,FALSE
,8699,,,,12/11/2001,,,Maintenance,1,Humboldt(HUM),,HUM,,101,68.25,Deer,F,A,,,,,,No,,,-121.24854,38.84088,,FALSE
,8700,,,,11/15/2001,,,county,1,Humboldt(HUM),,HUM,,101,68.55,Deer,M,J,,,,,,No,,,-121.24834,38.84221,,FALSE
,8703,,,,11/12/2001,,,Maintenance,1,Humboldt(HUM),,HUM,,101,68.80,Deer,F,J,,,,,,No,,,-121.24818,38.84331,,FALSE
,8702,,,,12/11/2000,,,county,1,Humboldt(HUM),,HUM,,101,68.90,Deer,U,U,,,,,,No,,,-121.24816,38.84375,,FALSE
,8704,,,,11/7/2001,,,Maintenance,1,Humboldt(HUM),,HUM,,101,68.90,Deer,M,A,,,,,,No,,,-121.24816,38.84375,,FALSE
,8705,,,,11/2/2001,,,Maintenance,1,Humboldt(HUM),,HUM,,101,69.00,Deer,F,J,,,,,,No,,,-121.24822,38.84419,,FALSE
,8707,,,,11/1/2001,,,Maintenance,1,Humboldt(HUM),,HUM,,101,69.10,Deer,F,A,,,,,,No,,,-121.24829,38.84463,,FALSE
,8706,,,,11/2/2001,,,Maintenance,1,Humboldt(HUM),,HUM,,101,69.10,Deer,M,A,,,,,,No,,,-121.24829,38.84463,,FALSE
,8708,,,,9/18/2001,,,Maintenance,1,Humboldt(HUM),,HUM,,101,69.31,Raccoon,F,A,,,,,,No,,,-121.24844,38.84555,,FALSE
,8709,,,,10/30/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,69.64,Deer,U,U,,,,,,No,,,-121.24868,38.84701,,FALSE
,8710,,,,10/30/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,69.64,Deer,U,U,,,,,,No,,,-121.24868,38.84701,,FALSE
,8711,,,,10/30/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,69.80,Deer,U,U,,,,,,No,,,-121.2488,38.84771,,FALSE
,8717,,,,10/4/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,70.00,Deer,U,U,,,,,,No,,,-121.24896,38.84859,,FALSE
,8716,,,,10/7/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,70.00,Deer,U,U,,,,,,No,,,-121.24896,38.84859,,FALSE
,8715,,,,10/20/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,70.00,Deer,U,U,,,,,,No,,,-121.24896,38.84859,,FALSE
,8712,,,,11/7/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,70.00,Deer,M,U,,,,,,No,,,-121.24896,38.84859,,FALSE
,8713,,,,11/7/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,70.00,Deer,M,U,,,,,,No,,,-121.24896,38.84859,,FALSE
,8714,,,,11/7/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,70.00,Deer,M,U,,,,,,No,,,-121.24896,38.84859,,FALSE
,8718,,,,10/3/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,70.05,Deer,U,U,,,,,,No,,,-121.24902,38.8488,,FALSE
,8719,,,,9/19/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,70.20,Deer,F,J,,,,,,No,,,-121.24948,38.84936,,FALSE
,8720,,,,7/14/2000,,,county,1,Humboldt(HUM),,HUM,,101,70.22,Skunk,U,U,,,,,,No,,,-121.24956,38.84943,,FALSE
,8721,,,,9/19/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,70.50,Deer,F,J,,,,,,No,,,-121.25048,38.85042,,FALSE
,8722,,,,6/28/2000,,,county,1,Humboldt(HUM),,HUM,,101,70.50,Raccoon,U,U,,,,,,No,,,-121.25048,38.85042,,FALSE
,8723,,,,9/19/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,71.00,Raccoon,U,J,,,,,,No,,,-121.25117,38.85252,,FALSE
,8724,,,,9/19/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,71.00,Raccoon,U,U,,,,,,No,,,-121.25117,38.85252,,FALSE
,8725,,,,9/19/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,71.06,Raccoon,U,U,,,,,,No,,,-121.25132,38.85275,,FALSE
,8726,,,,7/8/2002,,,Maintenance,1,Humboldt(HUM),,HUM,,101,71.10,Bear,M,A,,,,,,No,,,-121.25142,38.85291,,FALSE
,8728,,,,7/17/2000,,,county,1,Humboldt(HUM),,HUM,,101,71.70,Raccoon,U,U,,,,,,No,,,-121.25213,38.85537,,FALSE
,8727,,,,7/9/1997,,,tasas,1,Humboldt(HUM),,HUM,,101,71.77,Deer,U,U,,,,,,No,,,-121.25208,38.85567,,FALSE
,8729,,,,11/8/1996,,,tasas,1,Humboldt(HUM),,HUM,,101,72.50,Deer,U,U,,,,,,No,,,-121.25157,38.85888,,FALSE
,8730,,,,9/22/2000,,,county,1,Humboldt(HUM),,HUM,,101,72.50,Raccoon,U,U,,,,,,No,,,-121.25157,38.85888,,FALSE
,8731,,,,10/2/2000,,,county,1,Humboldt(HUM),,HUM,,101,72.50,Skunk,U,U,,,,,,No,,,-121.25157,38.85888,,FALSE
,8732,,,,7/10/2000,,,county,1,Humboldt(HUM),,HUM,,101,72.70,Fox,U,U,,,,,,No,,,-121.25099,38.85965,,FALSE
,21844,Popham,Gail,,11/7/2007,Northbound,,B,1,Humboldt(HUM),freeway/expressway,HUM,,101,80.56,Raccoon,U,U,,,,flat,,,07-Nov-07,,0,0,Fresth Carcass,FALSE
,21861,Popham,Gail,,2/16/2008,Southbound,,B,1,Humboldt(HUM),freeway/expressway,HUM,,101,83.50,Deer,U,J,,,,flat,,,22-Feb-08,,0,0,Fresth Carcass,FALSE
,21846,Popham,Gail,,11/10/2007,Northbound,,B,1,Humboldt(HUM),freeway/expressway,HUM,,101,90.00,Striped_Skunk,U,A,,,,flat,,,11-Nov-07,,0,0,Fresth Carcass,FALSE
,21840,Popham,Gail,,11/4/2007,Northbound,,B,1,Humboldt(HUM),freeway/expressway,HUM,,101,98.70,Gray fox,U,U,,,,hill,,,05-Nov-07,05-Nov-07,0,0,Fresth Carcass,FALSE
,21838,Popham,Gail,,11/4/2007,Northbound,,B,1,Humboldt(HUM),freeway/expressway,HUM,,101,103.70,Striped_Skunk,U,U,,,,hill,,,05-Nov-07,,0,0,Fresth Carcass,FALSE
,21839,Popham,Gail,,11/4/2007,Northbound,,B,1,Humboldt(HUM),freeway/expressway,HUM,,101,104.00,Raccoon,U,U,,,,hill,,,05-Nov-07,,0,0,Fresth Carcass,FALSE
,21845,Popham,Gail,,11/7/2007,Westbound,,B,1,Humboldt(HUM),2 lane conventional,HUM,,255,0.60,Rabbit,U,U,,,,hill,,,07-Nov-07,11-Nov-07,0,0,Fresth Carcass,FALSE
,12859,,,,8/26/2002,,,CHP,2,Trinity (TRI),,TRI,,3,10.31,Deer,U,U,,,,13916 N Hwy 3/Near W/Moffett,,No,,,,,,FALSE
,12826,,,,6/6/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,21.47,Deer,U,U,,,,JNO Bob's ranch house,,No,,,-120.85404,39.07356,,FALSE
,12827,,,,9/19/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,25.80,Deer,U,U,,,,NB - JSOScott Valley Airport,,No,,,-120.85666,39.09222,,FALSE
,12828,,,,5/17/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,27.15,Deer,U,U,,,,1 mile N of Greenview,,No,,,-120.85571,39.0981,,FALSE
,12829,,,,7/2/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,27.79,Deer,U,U,,,,JSO Greenview Kidder Creek Bridge,,No,,,-120.85446,39.10077,,FALSE
,12830,,,,8/20/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,31.11,Deer,U,U,,,,At Lighthill,,No,,,-120.84165,39.11133,,FALSE
,12831,,,,8/25/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,33.00,Deer,U,U,,,,SB - JNO Scott Rvr Rd,,No,,,-120.83583,39.11832,,FALSE
,12832,,,,10/23/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,33.00,Deer,U,U,,,,Between Moffett Crk and Ft Jones,,No,,,-120.83583,39.11832,,FALSE
,12833,,,,10/23/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,33.06,Deer,U,U,,,,S/Ft Jones Ball Park,,No,,,-120.8357,39.11856,,FALSE
,12834,,,,10/26/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,33.50,Deer,U,U,,,,JSO McAdams Creek,,No,,,-120.83434,39.12019,,FALSE
,12835,,,,5/12/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,34.05,Deer,U,U,,,,1 N or McAdams Creek,,No,,,-120.83241,39.12212,,FALSE
,12836,,,,10/21/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,34.59,Deer,U,U,,,,At W Moffett Creek,,No,,,-120.82966,39.12235,,FALSE
,12838,,,,9/10/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,35.00,Deer,U,U,,,,,,No,,,-120.82743,39.12177,,FALSE
,12839,,,,9/17/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,35.00,Deer,U,U,,,,,,No,,,-120.82743,39.12177,,FALSE
,12840,,,,10/14/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,35.00,Deer,U,U,,,,,,No,,,-120.82743,39.12177,,FALSE
,12841,,,,10/5/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,36.50,Deer,U,J,,,,JNO,,No,,,-120.81896,39.12096,,FALSE
,12842,,,,8/3/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,37.00,Deer,U,U,,,,3 miles N/McAdams Creek,,No,,,-120.81623,39.12163,,FALSE
,12843,,,,5/29/2002,,,CHP,2,Siskiyou(SIS),,SIS,,3,37.50,Deer,U,U,,,,JSO W Moffet Creek,,No,,,-120.81359,39.12247,,FALSE
