"ID","ROUTE","COUNTY","PM","LON","LAT"
1,88,"ALP",9.2,-119.9862,38.22967
2,88,"ALP",21.5,-119.93802,38.25483
3,88,"ALP",23.2,-119.93318,38.2604
4,88,"ALP",23.4,-119.93319,38.26128
5,88,"ALP",23.4,-119.93319,38.26128
6,88,"ALP",21.7,-119.93705,38.25528
7,88,"ALP",9,-119.9867,38.2284
8,88,"ALP",9.5,-119.9861,38.23167
9,88,"ALP",20.2,-119.94363,38.2512
10,88,"ALP",10,-119.98619,38.23502
11,88,"ALP",20.5,-119.94234,38.25205
12,89,"ALP",16,-119.93653,38.22727
13,89,"ALP",11.8,-119.92265,38.21861
14,89,"ALP",20.5,-119.94446,38.24537
15,88,"ALP",23.3,-119.93319,38.26084
16,88,"ALP",21.5,-119.93802,38.25483
17,89,"ALP",13.5,-119.92959,38.22221
18,89,"ALP",17.5,-119.94012,38.23297
19,88,"ALP",6,-120.00059,38.22371
20,88,"ALP",9,-119.9867,38.2284
21,89,"ALP",20,-119.94407,38.24327
22,89,"ALP",12.5,-119.92534,38.22027
23,89,"ALP",22.5,-119.97616,38.25284
24,89,"ALP",17.1,-119.93855,38.23173
25,88,"ALP",14.1,-119.97164,38.24738
26,88,"ALP",18,-119.95274,38.24546
27,89,"ALP",23.5,-119.98114,38.25171
28,89,"ALP",22.5,-119.97616,38.25284
29,89,"ALP",20.2,-119.94407,38.24416
30,88,"ALP",21.5,-119.93802,38.25483
32,89,"ALP",16,-119.93653,38.22727
35,89,"ALP",20.5,-119.94446,38.24537
36,88,"ALP",21.2,-119.93936,38.25406
37,88,"ALP",22.4,-119.93377,38.25697
38,88,"ALP",21.6,-119.93754,38.25506
39,88,"ALP",22.9,-119.93317,38.25907
40,88,"ALP",10.1,-119.98598,38.23567
41,88,"ALP",10.1,-119.98598,38.23567
42,88,"ALP",8.5,-119.98833,38.22532
43,88,"ALP",8.4,-119.98874,38.22473
44,88,"ALP",10,-119.98619,38.23502
45,88,"ALP",20,-119.94448,38.25063
46,88,"ALP",9,-119.9867,38.2284
48,88,"ALP",22.5,-119.93348,38.25734
49,4,"ALP",26.3,-119.9292,38.1966
50,4,"ALP",26.3,-119.9292,38.1966
51,89,"ALP",11.5,-119.92113,38.21805
52,89,"ALP",20,-119.94407,38.24327
53,88,"ALP",21,-119.9402,38.25348
54,88,"ALP",23,-119.93318,38.25951
55,88,"ALP",21,-119.9402,38.25348
56,89,"ALP",20.6,-119.94468,38.24578
57,89,"ALP",20.5,-119.94446,38.24537
60,89,"ALP",20.2,-119.94407,38.24416
61,88,"ALP",21.5,-119.93802,38.25483
62,88,"ALP",23.2,-119.93319,38.26062
63,88,"ALP",18.8,-119.94872,38.24697
64,89,"ALP",12.5,-119.92534,38.22027
65,88,"ALP",21,-119.9402,38.25348
66,26,"CAL",27.5,-120.17506,38.12027
67,49,"CAL",24,-120.21886,38.08777
68,26,"AMA",0.5,-120.16686,38.14016
69,49,"CAL",25.2,-120.21751,38.09263
70,49,"CAL",25.3,-120.21761,38.09306
71,26,"AMA",2.6,-120.17669,38.13895
72,26,"CAL",27,-120.17709,38.1184
73,26,"CAL",27.6,-120.17431,38.12058
74,49,"AMA",20.6,-120.25696,38.17335
75,26,"AMA",3.8,-120.18109,38.13893
76,49,"CAL",24.1,-120.21873,38.08819
77,26,"CAL",16.5,-120.22025,38.09877
78,49,"CAL",24,-120.21886,38.08777
79,26,"AMA",3.2,-120.17928,38.13773
80,26,"CAL",19.7,-120.20693,38.10364
81,26,"CAL",27.4,-120.17591,38.12024
82,12,"CAL",14.5,-120.22917,38.07659
83,26,"CAL",36.6,-120.16766,38.13719
84,26,"CAL",23.6,-120.19094,38.11261
85,26,"CAL",36.6,-120.16766,38.13719
86,12,"CAL",0.6,-120.29837,38.07246
87,26,"AMA",3.2,-120.17928,38.13773
88,26,"AMA",3.2,-120.17928,38.13773
89,49,"CAL",28,-120.21599,38.1033
90,26,"AMA",2.5,-120.17649,38.13935
91,26,"AMA",2,-120.17416,38.13986
92,26,"CAL",34.4,-120.16025,38.13253
93,26,"CAL",24.1,-120.18858,38.11346
94,49,"CAL",28,-120.21599,38.1033
95,49,"CAL",23.7,-120.219,38.08647
96,49,"CAL",24,-120.21886,38.08777
97,26,"CAL",29,-120.16863,38.12371
98,26,"CAL",3.4,-120.27227,38.04737
99,49,"CAL",23,-120.21622,38.08456
100,26,"CAL",29,-120.16863,38.12371
101,26,"CAL",28.4,-120.1701,38.12283
102,49,"CAL",28.3,-120.21752,38.10276
103,49,"CAL",28.3,-120.21752,38.10276
104,26,"CAL",19.5,-120.20779,38.10322
105,49,"CAL",25.4,-120.21766,38.0935
106,26,"CAL",28.5,-120.17004,38.12322
107,49,"CAL",24,-120.21886,38.08777
108,26,"CAL",26,-120.17996,38.11515
109,26,"CAL",24.5,-120.187,38.11455
110,26,"CAL",26.5,-120.17784,38.1161
111,49,"CAL",24,-120.21886,38.08777
112,49,"CAL",29.7,-120.22226,38.1042
113,26,"CAL",32,-120.16439,38.1271
114,12,"CAL",4,-120.28351,38.06647
115,26,"AMA",3.1,-120.17879,38.13794
116,49,"CAL",23.5,-120.21813,38.08598
117,108,"TUO",45.5,-119.97735,38.11188
118,108,"TUO",11.5,-120.06871,38.02164
119,108,"TUO",10,-120.07375,38.01828
120,108,"TUO",10,-120.07375,38.01828
121,108,"TUO",11,-120.07019,38.02033
122,108,"TUO",12.9,-120.06503,38.02476
123,108,"TUO",12,-120.06705,38.02324
124,120,"TUO",1.5,-120.1905,37.96336
125,49,"TUO",15,-120.12817,37.99861
126,49,"TUO",16,-120.12347,38.00016
127,49,"TUO",13,-120.13432,37.99224
128,49,"TUO",19,NA,NA
129,108,"TUO",3,-120.1034,38.00488
130,49,"TUO",19.6,-120.11781,38.01315
131,49,"TUO",21,-120.12384,38.01488
132,108,"TUO",19.6,-120.03747,38.04417
133,49,"TUO",19.2,-120.11698,38.01155
134,49,"TUO",23,-120.13214,38.01037
135,49,"TUO",15.5,-120.126,37.99975
136,108,"TUO",3.7,-120.09946,38.00465
137,108,"TUO",5.5,-120.09075,38.00607
138,49,"TUO",15.1,-120.12774,37.99885
139,120,"TUO",6.1,-120.16522,37.96441
140,108,"TUO",4.5,-120.09505,38.00502
141,108,"TUO",2.3,-120.10666,38.00397
142,49,"TUO",14.2,-120.12974,37.99576
143,120,"TUO",11,-120.15385,37.97565
144,49,"TUO",19.5,-120.11756,38.01276
145,108,"TUO",2.3,-120.10666,38.00397
146,49,"TUO",27,-120.14979,38.012
147,49,"TUO",13.9,-120.13048,37.99462
148,108,"TUO",3.3,-120.1017,38.00498
149,108,"TUO",3,-120.1034,38.00488
150,108,"TUO",2.2,-120.10704,38.0039
151,120,"STA",16.6,-120.20256,37.95418
152,120,"TUO",7,-120.16117,37.96377
153,108,"TUO",6.5,-120.08613,38.00803
154,49,"TUO",22.8,-120.13146,38.01137
155,108,"TUO",0.9,-120.11538,38.00131
156,108,"TUO",4,-120.09778,38.00443
157,49,"TUO",27,-120.14979,38.012
158,49,"TUO",20.8,-120.12277,38.01516
159,120,"TUO",12.5,-120.14775,37.97684
160,108,"TUO",0.5,-120.11788,38.00084
161,108,"TUO",2.3,-120.10666,38.00397
162,108,"TUO",2.3,-120.10666,38.00397
163,108,"TUO",2.3,-120.10666,38.00397
164,120,"TUO",8,-120.15612,37.96349
165,108,"TUO",2.1,-120.10743,38.0039
166,108,"TUO",5.1,-120.09261,38.00663
167,49,"TUO",2.5,-120.08117,37.9423
168,49,"TUO",21.6,-120.12718,38.01503
169,49,"TUO",13.7,-120.13127,37.99403
170,49,"TUO",17,-120.12042,38.00309
171,49,"TUO",19.5,-120.11756,38.01276
172,108,"TUO",4.9,-120.09329,38.00606
173,49,"TUO",13.8,-120.13085,37.99431
174,108,"TUO",4.3,-120.09613,38.00473
175,120,"STA",15.9,-120.20538,37.95231
176,49,"TUO",20,-120.11915,38.01456
177,49,"TUO",23,-120.13214,38.01037
178,49,"TUO",26,-120.14544,38.00897
179,49,"TUO",26.7,-120.14832,38.01127
180,108,"TUO",2.5,-120.10573,38.00379
181,49,"TUO",4.9,-120.08836,37.95063
182,49,"TUO",16,-120.12347,38.00016
183,108,"TUO",4,-120.09778,38.00443
184,49,"TUO",20.5,-120.1212,38.01565
185,108,"TUO",3.5,-120.10057,38.00485
186,108,"TUO",3.5,-120.10057,38.00485
187,108,"TUO",17,-120.05108,38.03512
188,49,"TUO",13,-120.13432,37.99224
189,49,"TUO",16,-120.12347,38.00016
190,108,"TUO",5,-120.09291,38.00639
191,108,"TUO",6,-120.08847,38.00687
192,108,"TUO",0,-120.1211,38.00068
193,49,"TUO",15,-120.12817,37.99861
194,108,"TUO",2.4,-120.10622,38.00396
195,108,"TUO",5.7,-120.08974,38.00601
196,108,"TUO",15.2,-120.05761,38.03183
198,120,"STA",12.5,-120.22117,37.94961
199,108,"TUO",15.5,-120.05626,38.03145
200,120,"STA",15,-120.20994,37.95294
201,120,"TUO",21.8,-120.10535,37.95947
202,108,"TUO",5,-120.09291,38.00639
203,49,"TUO",27,-120.14979,38.012
204,108,"TUO",5.5,-120.09075,38.00607
205,49,"TUO",22.2,-120.12953,38.01332
