Incident date,calyr,incmth,hhour,season,NA_TOWN,animal,type,roadtype,abs_area,abs_region,STATE1,LGA,CLAIM COST
1/09/2013,31/12/2013,1/09/2013,18,SPRING,ABBEYARD,KANGAROO,Animal,Non Highway,ALPINE (S) - WEST,East Ovens-Murray,VIC,Alpine Shire,2056.77
11/04/2012,31/12/2012,1/04/2012,17,SPRING,ACHERON,KANGAROO,Animal,Highway,MURRINDINDI (S) - EAST,South West Goulburn,VIC,Murrindindi Shire,794.41
6/04/2013,31/12/2013,1/04/2013,6,SPRING,ACHERON,KANGAROO,Animal,Highway,MURRINDINDI (S) - EAST,South West Goulburn,VIC,Murrindindi Shire,1670.74
24/05/2013,31/12/2013,1/05/2013,19,SPRING,ADELAIDE LEAD,KANGAROO,Animal,Non Highway,C. GOLDFIELDS (S) BAL,North Loddon,VIC,Central Goldfields Shire,2078
15/08/2013,31/12/2013,1/08/2013,7,SPRING,ADELAIDE LEAD,KANGAROO,Animal,Non Highway,C. GOLDFIELDS (S) BAL,North Loddon,VIC,Central Goldfields Shire,1940.82
2/08/2012,31/12/2012,1/08/2012,6,SPRING,AGNES,KANGAROO,Animal,Highway,SOUTH GIPPSLAND (S) - EAST,South Gippsland,VIC,South Gippsland Shire,3352.31
20/09/2011,31/12/2011,1/09/2011,18,SPRING,AIREYS INLET,KANGAROO,Animal,Non Highway,SURF COAST (S) - WEST,East Barwon,VIC,Surf Coast Shire,2681.15
12/11/2011,31/12/2011,1/11/2011,11,SPRING,AIREYS INLET,KANGAROO,Animal,Non Highway,SURF COAST (S) - WEST,East Barwon,VIC,Surf Coast Shire,1120.04
9/12/2012,31/12/2012,1/12/2012,7,SPRING,AIREYS INLET,KANGAROO,Animal,Non Highway,SURF COAST (S) - WEST,East Barwon,VIC,Surf Coast Shire,2898.79
27/02/2013,31/12/2013,1/02/2013,,SPRING,AIREYS INLET,KANGAROO,Animal,Non Highway,SURF COAST (S) - WEST,East Barwon,VIC,Surf Coast Shire,1897.84
26/12/2011,31/12/2011,1/12/2011,14,SPRING,ALBERTON,KANGAROO,Animal,Highway,WELLINGTON (S) - ALBERTON,Wellington Shire,VIC,Wellington Shire,1111.99
25/03/2012,31/12/2012,1/03/2012,,SPRING,ALBERTON WEST,KANGAROO,Animal,Non Highway,WELLINGTON (S) - ALBERTON,Wellington Shire,VIC,Wellington Shire,2730.48
3/04/2013,31/12/2013,1/04/2013,19,SPRING,ALBERTON WEST,KANGAROO,Animal,Non Highway,WELLINGTON (S) - ALBERTON,Wellington Shire,VIC,Wellington Shire,3874.15
23/07/2011,31/12/2011,1/07/2011,7,SPRING,ALBERTON WEST,KANGAROO,Animal,Non Highway,WELLINGTON (S) - ALBERTON,Wellington Shire,VIC,Wellington Shire,5779.35
5/04/2011,31/12/2011,1/04/2011,9,SPRING,ALEXANDRA,KANGAROO,Animal,Highway,MURRINDINDI (S) - EAST,South West Goulburn,VIC,Murrindindi Shire,9011.26
30/01/2011,31/12/2011,1/01/2011,4,SPRING,ALEXANDRA,KANGAROO,Animal,Non Highway,MURRINDINDI (S) - EAST,South West Goulburn,VIC,Murrindindi Shire,4758.81
15/05/2011,31/12/2011,1/05/2011,17,SPRING,ALEXANDRA,KANGAROO,Animal,Non Highway,MURRINDINDI (S) - EAST,South West Goulburn,VIC,Murrindindi Shire,1022.07
10/02/2012,31/12/2012,1/02/2012,23,SPRING,ALEXANDRA,KANGAROO,Animal,Non Highway,MURRINDINDI (S) - EAST,South West Goulburn,VIC,Murrindindi Shire,3312.95
5/01/2011,31/12/2011,1/01/2011,5,SPRING,ALEXANDRA,KANGAROO,Animal,Highway,MURRINDINDI (S) - EAST,South West Goulburn,VIC,Murrindindi Shire,4587.85
4/01/2011,31/12/2011,1/01/2011,20,SPRING,ALEXANDRA,KANGAROO,Animal,Highway,MURRINDINDI (S) - EAST,South West Goulburn,VIC,Murrindindi Shire,7523.31
4/01/2011,31/12/2011,1/01/2011,6,SPRING,ALEXANDRA,KANGAROO,Animal,Non Highway,MURRINDINDI (S) - EAST,South West Goulburn,VIC,Murrindindi Shire,1222.83
